"common.name","spp","spp.code","year","N","nets"
"Merlin","Falco columbarius","MERL",2009,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2009,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2009,18,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2009,2,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2009,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2009,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2009,14,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2009,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2009,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2009,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2009,13,9
"American Redstart","Setophaga ruticilla","AMRE",2009,11,9
"Cape May Warbler","Setophaga tigrina","CMWA",2009,0,9
"Northern Parula","Setophaga americana","NOPA",2009,6,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2009,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2009,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2009,4,9
"Baltimore Oriole","Icterus galbula","BAOR",2009,0,9
"Indigo Bunting","Passerina cyanea","INBU",2009,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",2009,1,9
"Merlin","Falco columbarius","MERL",2010,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2010,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2010,20,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2010,0,9
